filesize,size_w,size_h,aspect_ratio,mean_value_b,mean_value_g,mean_value_r,median_value_b,median_value_g,median_value_r,std_deviation_b,std_deviation_g,std_deviation_r,contrast,brightness,hue,saturation,value,hog_features_mean,hog_features_median,hog_features_std,hog_features_len,h_mean,h_median,h_std,s_mean,s_median,s_std,v_mean,v_median,v_std,n_objects,area,area_mean,area_std,vert,vert_mean,vert_std,color_mean,color_std,corners,lines,faces,blink,has_text,sharpness,blur_metric,gaussian_blur,gibson_blur,gradient,texture_energy,color_balance,focus_score,average_hash,dhash,phash,colorhash,filename
128219,1200,636,0.53,171.059177358491,174.988986792453,178.8761,192,196,200,56.5105248163785,57.3663874156568,57.9432931450116,57.4386919757656,175.725237735849,0.0039062498,0.00003018868,0.0061913426,0.0313573598568324,0.0369707441562675,0.0163314415197605,66000,16.7070264150943,13,16.7668174224731,18.1739509433962,10,32.3692690495961,178.891760377358,200,57.899073242128,1,527457.5,527457.5,0,4,4,0,175.184403276623,3.18695959418793,100,2316,0,0,527467,2342.66539433962,2342.61752667907,14572651,4527896.4914002,47330.6987773585,0.00124515115277298,57.273401792349,47330.6987773585,1688849860231425,6.7265443578653E+018,1.38188487896927E+019,541165879296,receipts_01.jpg
81764,1000,645,0.645,144.866550387597,146.331773643411,145.780615503876,140,142,141,37.8715901850635,37.8122625700838,38.0600466711829,37.884129804722,146.013711627907,0.00390625,0,0.0063760383,0.0318344620782418,0.0367204716623644,0.0153807354674949,80000,60.5631286821705,50,44.6502151270688,6.4046015503876,5,7.40872604544342,147.129088372093,142,37.7748807855529,589,554519.5,941.459252971138,21448.1948510069,2051,3.48217317487267,2.99662028593747,129.357331648018,3.65730444204207,100,899,0,0,101135,645.587696124031,645.587692451906,10665864,5291989.38581955,9008.22626046512,0.00183240649452878,37.9146331421101,9008.22626046512,2.16455363245835E+017,1.84309675039399E+019,1.22624803925215E+019,481036337152,receipts_02.jpg
130707,1000,750,0.75,99.5750826666667,117.685572,137.549133333333,86,124,154,62.6290692457719,65.1843612765559,70.545331652182,65.3325264034095,121.553408,0.00390625,0.0017213332,0.0037456846,0.0320613533470479,0.0372278727125048,0.0149020005666933,93000,40.5819,15,55.0622192468665,75.0340613333333,50,50.9536259471189,138.018896,154,70.0565171863012,441,406958,922.807256235828,15905.4292512986,1653,3.74829931972789,3.46837386812502,123.370658362807,28.4627653837116,100,7081,0,0,442760,744.437726666667,744.437724573822,12635346,6354630.70717894,9428.19172,0.00079150591922076,66.1195873915033,9428.19172,7.0212442865063E+018,9.70263665984764E+018,1.413243048077E+019,1014686089216,receipts_03.jpg
86563,1000,750,0.75,130.201656,133.923593333333,134.153993333333,169,176,179,80.7188897771978,79.7088988968945,80.0327125413051,79.8844397189056,133.566112,0.0039062498,0.000022666667,0.004558427,0.0299991256475887,0.0369101068049346,0.0187068151405447,93000,37.4782906666667,30,29.7177122611782,22.7677533333333,11,27.8457432561213,135.237802666667,179,80.3476314807001,36,503403.5,13983.4305555556,82723.6256882042,94,2.61111111111111,2.42988085873656,129.011892503233,14.2617995718347,100,274,0,0,506897,700.505129333333,700.505129273797,10274697,6331970.74104057,15700.4412026667,0.00162919512837291,80.1535004051325,15700.4412026667,1.18852643343401E+018,1.64709444793813E+019,1.53308674028175E+019,1022202216448,receipts_04.jpg
16372,348,348,1,82.5949844761527,88.5429630730612,94.2327751354208,112,119,126,51.6589024597123,56.7483126686933,58.6502542692055,56.6650691346097,89.4997109922051,0.00390625,0.000024772096,0.007516745,0.0266695668423641,0.0307757589335418,0.0228584605089084,14792,46.9677962742767,18,56.5731399856401,44.3777827321971,33,25.4155487402566,94.4543285110319,126,58.3303635356785,117,65846.5,562.790598290598,5994.28884501181,368,3.14529914529915,3.28234062114936,130.159157597379,9.14106613369409,100,63,0,0,78404.5,948.113670894438,948.113667944522,2856996,915350.22936645,9114.98533491875,0.00657770859711358,55.685823132537,9114.98533491875,4.34041037028473E+018,1.47573953971472E+019,9.75217266311977E+018,1640677507072,receipts_06.jpg
90863,1000,750,0.75,138.638232,152.593685333333,173.544437333333,182,197,211,73.0989140542845,71.2385848941745,59.5407632578299,67.8851384020137,157.312028,0.0039062505,0.0010606667,0.0071914885,0.0316278300408716,0.0372492091647016,0.0158012773598839,93000,13.0411066666667,14,3.64520226809006,70.96922,37,61.8245958223068,173.544437333333,211,59.540763257817,1,525421.5,525421.5,0,4,4,0,172.03821422622,12.4763747253311,100,1727,0,0,525123,525.227793333333,525.227792181289,12829798,6111186.18789726,11333.835872,0.00193550097887761,67.9594207354297,11333.835872,4.35849541349428E+018,1.41831994836357E+019,1.49886121921875E+019,541165944832,receipts_08.jpg
49240,1000,582,0.582,248.866637457045,248.866637457045,248.866637457045,255,255,255,27.8346361344158,27.8346361344158,27.8346361344158,27.8346361342783,248.866637457045,0.00390625,0,0.05045363,0.0110139671776711,0,0.0213846589258446,72000,0,0,0,0,0,0,248.866637457045,255,27.8346361342783,1,580419,580419,0,4,4,0,248.866637457045,0,100,118,0,0,580419,2346.90681958763,2346.90681958739,7213430,5146635.02314329,21272.1791202749,0.565862298576246,27.8346361344158,21272.1791202749,1.72588073062786E+019,5.48065779128979E+018,1.34186573672329E+019,481036337152,receipts_09.jpg
50035,1000,750,0.75,143.36158,143.889353333333,143.756958666667,148,148,149,23.921219086191,23.8418493965236,23.8926797487617,23.7968213564669,143.76278,0.00390625,0,0.010027946,0.0295278678502326,0.0364231516669396,0.0194449227144585,93000,71.780168,66,60.4403618058753,8.014952,7,7.77127311133957,145.700497333333,150,23.6244625367999,13,742347,57103.6153846154,197808.540509033,36,2.76923076923077,2.22412804535399,128.677552786325,5.51826393141223,100,128,0,0,748251,225.659209333333,225.659209035945,7553970,5686606.80951079,8108.57545333333,0.00597654761493806,23.8852494104921,8108.57545333333,9.15216274985327E+018,1.60776034823515E+019,1.3308422559701E+019,481036337152,receipts_10.jpg
108875,1000,750,0.75,139.431234666667,152.77214,167.314949333333,188,190,188,74.4895554154597,58.2627030711264,41.586151592179,54.51052768523,155.588924,0.00390625,0.000718,0.008039396,0.0308246393612718,0.0369649544111702,0.0173159350742135,93000,43.9255746666667,20,43.0859748046828,64.6781,14,82.1153567147461,169.572022666667,193,42.0788002926512,225,524121,2329.42666666667,34714.9714388821,592,2.63111111111111,2.07886958836578,121.321545733544,40.6045726108824,100,719,0,0,520618.5,607.898277333333,607.898275874069,12014935,6265200.82725749,13125.877616,0.00258095749214059,58.1128033595884,13125.877616,3.56049288187409E+016,8.05829540863218E+018,9.2592361743934E+018,489626468352,receipts_100.jpg
96403,1000,750,0.75,161.17322,172.172764,182.053752,156,170,182,43.232860328276,44.6744744636023,42.5783413962589,43.7848360032852,173.866009333333,0.00390625,0.00006533333,0.004705717,0.0304791618531367,0.0369171718176081,0.0179140493773283,93000,19.7606546666667,17,24.2644720351535,31.9683346666667,27,17.2836446380193,182.054953333333,182,42.5785306478647,29,720076,24830.2068965517,131340.537908898,135,4.6551724137931,4.28530658838786,128.793664493087,15.1031107499323,100,59,0,0,382185.5,702.917726666667,702.917726568489,9881368,6175053.40310784,15794.8092053333,0.00170852910527189,43.4952253960457,15794.8092053333,9.18720194841431E+018,1.38933088713399E+019,9.35605578504708E+018,541165879296,receipts_101.jpg
