size_w,size_h,aspect_ratio,mean_value_b,mean_value_g,mean_value_r,median_value_b,median_value_g,median_value_r,std_deviation_b,std_deviation_g,std_deviation_r,contrast,brightness,hue,saturation,value,hog_features_mean,hog_features_median,hog_features_std,hog_features_len,h_mean,h_median,h_std,s_mean,s_median,s_std,v_mean,v_median,v_std,n_objects,area,area_mean,area_std,vert,vert_mean,vert_std,color_mean,color_std,corners,lines,faces,blink,has_text,filesize,sharpness,blur_metric,gaussian_blur,gibson_blur,gradient,texture_energy,color_balance,focus_score,average_hash,dhash,phash,colorhash,filename
3120,4160,1.3333333333333333,123.70259399654833,125.00819056644477,127.57656858666174,110.0,108.0,119.0,82.11770458437822,83.33000081440584,84.78609691925877,82.44160260740185,125.62957686143984,0.00390625,0.0030946438,0.005001829,0.030720146371260627,0.036977841857691436,0.01485645228285911,1622400,60.808741370808676,75.0,47.81195881582491,83.72438740446252,79.0,67.1500120170952,142.3960630085059,134.0,78.98486757629802,5011,5828568.5,1163.154759529036,69031.1112210266,17082,3.4089004190780283,3.102620641908564,131.42356041826997,29.47354276316297,100,37788,2,1,5178540.5,3867357,56.297048046104536,56.29704801825477,61307279,112441940.80953607,1462.8230706052761,0.007341651688797653,83.41126743934761,1462.8230706052761,2240284658589959031,13830527447243562927,12001759277971244408,781734379520,2015-02-14 11-23-26.JPG
308,1982,6.435064935064935,244.9359151191896,244.36622131652405,243.51794232508158,255.0,255.0,255.0,35.70936359725908,35.69734728060235,36.49953785593558,35.905338765961574,244.23974700879342,0.00390625,0.0,0.041829843,0.021792661330408563,0.0,0.02784025701804177,75088,52.47535776534263,30.0,53.87606387689174,2.3389843002607886,1.0,7.334971438286196,245.1197170639653,255.0,35.2902727718225,2,608089.0,304044.5,304043.0,9,4.5,0.5,202.2755686823548,42.00469788512555,100,157,0,0,608082.5,95670,1519.813719580117,1519.8137190606044,9729539,5304033.779740025,26546.25738791985,0.2886438752826068,35.968749577932336,26546.25738791985,11539404585780031,15191245408888921024,9330696915567045318,482110086656,2022-01-21_21-41-38.png
3120,4160,1.3333333333333333,64.54185612364398,82.24404015655819,127.31022512943787,32.0,44.0,132.0,64.77737175126063,73.52115098221667,62.01440286511551,63.8951320096653,93.70392235268737,0.0039062505,0.0026396466,0.0028352833,0.033056088410548176,0.03761289634743107,0.012541731078329624,1622400,21.961519431089744,6.0,31.81416487933575,164.16862295056706,196.0,72.94893817543843,136.33137242665188,135.0,54.62050488303497,1675,3748025.0,2237.626865671642,51001.961172829426,4372,2.6101492537313433,2.4887121242572063,120.30090487230328,41.11025262050573,100,8631,1,0,3949077.5,3613478,30.12304610453649,30.123046100367883,35740022,108774962.46232373,832.3971193910256,0.0007218880968743747,66.77097519953092,832.3971193910256,5379115089447,17328317056867421404,10550576972343283393,77309640704,2015-02-20 20-33-53.JPG
4160,3120,0.75,115.12105661365878,114.78305249938363,137.82611617048818,109.0,114.0,142.0,54.459504028383066,53.7912926105099,42.29254947836192,48.101037398990584,121.71294525086292,0.00390625,0.0025795118,0.0036096107,0.03236431293678488,0.03772833786394322,0.013641406938716575,1622400,64.44630747657791,19.0,67.96648754165548,69.24114213510848,60.0,53.598969024832144,142.18561845106015,144.0,44.65154831226475,4099,6002789.5,1464.4521834593804,51917.98470384908,14085,3.4362039521834595,3.2067136260441815,129.0644194362694,21.778559419165223,100,3006,1,0,6536977.0,3312046,18.45661419810158,18.45661414841935,23731474,105613535.82126288,627.8432847941322,0.0010618415151956977,50.1811153724183,627.8432847941322,18227743011689240576,7585547638601232659,18349725205561933842,532576206849,2015-02-23 14-07-15.JPG
3120,4160,1.3333333333333333,90.59060681706114,115.64348996856509,142.7466790711292,80.0,116.0,153.0,65.31402976377268,69.40747436126243,72.02686654500566,67.91656196235526,120.89844304733728,0.00390625,0.0024602055,0.0030471918,0.03235748604335995,0.03765999780714928,0.014183610346677636,1622400,21.63025433000493,15.0,29.361787589006575,107.5355429456361,105.0,48.74210264934765,144.70385763375248,153.0,70.23861165432298,8181,6002097.5,733.6630607505195,45367.46040830939,22022,2.6918469624740253,2.684714918372989,122.11342663681344,29.650658897528995,100,16820,0,0,6660374.0,3260378,46.6401170334073,46.64011703124887,47754108,110106840.2166175,1565.4002534824951,0.0011332388756884735,68.91612355668025,1565.4002534824951,4846720107654627260,10849895661953769568,11630912872763057501,738734374912,2015-02-13 18-43-37.JPG
1190,2408,2.023529411764706,228.2265745833217,225.8999654512968,223.45385968340824,242.0,242.0,242.0,49.36066943858443,54.9079519204247,61.17805550243123,54.265150762378454,225.4310320639884,0.00390625,2.0938607e-05,0.02600312,0.022932996766495208,0.00024818259226530516,0.026908691126046356,356384,52.48678250369915,30.0,54.736046289982454,18.38762912141601,1.0,47.90357228643203,231.58841327228566,243.0,44.061362386524166,28,2663227.0,95115.25,493394.0723397023,287,10.25,2.0111297464715836,183.670649067136,18.65640769184367,100,2496,0,0,2662849.5,420119,1208.505496733577,1208.5054967311553,31132307,26604545.918500815,19824.192750355956,0.12113927731464548,55.148892287146786,19824.192750355956,18374965747001458172,8528983341967943977,15723532556517952154,481153777729,2022-01-21_21-32-13.png
3120,4160,1.3333333333333333,96.89661751109468,103.88998328094182,157.19420919625247,93.0,102.0,169.0,58.46580569454814,62.96826392867931,50.85083051408689,56.11953860681858,119.03956900271203,0.00390625,0.0029091933,0.0033417365,0.03328715025364978,0.037441080235473684,0.011914932960126684,1622400,51.285546027490135,9.0,70.45760503334148,121.48417329265286,110.0,64.87513322913163,159.76255909455128,170.0,47.9912862918697,3591,5846430.0,1628.078529657477,75774.65806654544,14566,4.056251740462267,3.3990447471460654,128.10098890430717,36.863864556976075,100,25408,2,0,6074014.5,3877621,37.65191198224852,37.65191198221052,46195921,109965427.7349153,1155.6899254191321,0.0005898005834855609,57.428300045771444,1155.6899254191321,18446706724750265344,17361535658702420160,11295524561845342385,223338364929,2015-02-13 18-17-38.JPG
3120,4160,1.3333333333333333,96.99833888067062,101.04331461107002,117.59965036365878,83.0,95.0,132.0,85.01159512071413,84.1971377458822,78.91239377482997,81.26508372335198,105.53952300604044,0.0039062498,0.0019668008,0.0029813012,0.03335782447000011,0.037630270912740356,0.011715611213092652,1622400,55.536925080128206,19.0,57.79157150597457,78.93381795488166,27.0,84.2753616340364,120.27141657421105,135.0,80.1376618742489,3065,5776172.5,1884.5587275693313,38147.698387169774,7296,2.3804241435562807,2.328098135689468,128.16966849066029,17.92196201478075,100,1659,2,1,6439735.5,3485455,32.17281681459566,32.17281677826244,32420455,109253249.23893559,669.9937510786489,0.0010812815793760566,82.70704221380878,669.9937510786489,18439926860067406016,7137374264860479110,17697679846322077759,1357209698305,2015-02-14 11-22-07.JPG
3120,4160,1.3333333333333333,63.146778075690335,77.70724251109468,108.44840991740631,30.0,41.0,109.0,64.5749275649055,72.1035658456095,67.7672999008474,64.06501688187325,85.24746509800296,0.0039062498,0.0023136633,0.0024835188,0.03291366352130378,0.03768651640290952,0.012909683749361503,1622400,28.578032236193295,10.0,39.74747191472534,167.67587185650888,202.0,76.74401911274278,121.75716477132643,119.0,58.158082173759375,2222,3413427.0,1536.1957695769577,46768.36878601785,6761,3.042754275427543,2.9360831584198683,121.898164663702,38.243540942177944,100,8542,0,0,3816966.0,3529853,28.98751286674063,28.98751277622031,33384033,108471677.8143099,819.0482189965484,0.0008458574101131423,68.14859777045413,819.0482189965484,1134139771659011,17890985600323339878,10834094474119949605,627065422336,2015-02-20 20-34-03.JPG
3120,4160,1.3333333333333333,79.77023006040434,108.75051366802268,161.12741933247042,71.0,111.0,177.0,58.17862854509367,67.22240764062472,62.369378334196796,63.32678315979981,121.12790048693294,0.00390625,0.0039497428,0.0024985417,0.03247753795315768,0.03766388085696307,0.013496016701011098,1622400,27.092949180226825,13.0,48.23947703677714,144.19462393676037,149.0,53.66752868878056,161.15789008567555,178.0,62.35684458704684,2871,7023053.5,2446.204632532219,119238.3074870306,7980,2.779519331243469,2.722344281983306,122.4319354549028,43.7349862010556,100,3068,2,1,7415477.0,3350825,23.395024423693293,23.39502435719424,28078290,107114448.36670631,664.5593121301775,0.0007349705881403329,62.590138173305064,664.5593121301775,18084889572070776928,8525974706783505865,14095551896713866434,120259149824,2015-02-13 18-43-45.JPG
